repeated_times,Accuracy,Precision,Recall,F1,AUC,CV_list(AUC)
10,0.6099337748344371,0.6062618028735784,0.7396216983983315,0.5434411288825084,0.7396216983983314,"[np.float64(0.7451963241436925), np.float64(0.7366434378629501), np.float64(0.7400763358778627), np.float64(0.73003663003663), np.float64(0.7327755905511811), np.float64(0.7513935340022296), np.float64(0.7322212467076383), np.float64(0.7278708133971291), np.float64(0.7316207184628237), np.float64(0.7683823529411764)]"
10,0.38874172185430467,0.5786864036037869,0.6404425217159833,0.37502925343198584,0.6404425217159833,"[np.float64(0.650375939849624), np.float64(0.6146922183507549), np.float64(0.6717557251908397), np.float64(0.6038461538461539), np.float64(0.6287729658792651), np.float64(0.6557971014492754), np.float64(0.6604477611940298), np.float64(0.6026714513556619), np.float64(0.6616541353383458), np.float64(0.6544117647058824)]"
10,0.38874172185430467,0.5786864036037869,0.6404425217159833,0.37502925343198584,0.6404425217159833,"[np.float64(0.650375939849624), np.float64(0.6146922183507549), np.float64(0.6717557251908397), np.float64(0.6038461538461539), np.float64(0.6287729658792651), np.float64(0.6557971014492754), np.float64(0.6604477611940298), np.float64(0.6026714513556619), np.float64(0.6616541353383458), np.float64(0.6544117647058824)]"
10,0.6099337748344371,0.6062618028735784,0.7396216983983315,0.5434411288825084,0.7396216983983314,"[np.float64(0.7451963241436925), np.float64(0.7366434378629501), np.float64(0.7400763358778627), np.float64(0.73003663003663), np.float64(0.7327755905511811), np.float64(0.7513935340022296), np.float64(0.7322212467076383), np.float64(0.7278708133971291), np.float64(0.7316207184628237), np.float64(0.7683823529411764)]"
10,0.6344370860927152,0.6079286299284561,0.7425072441173567,0.5593037995091362,0.7425072441173566,"[np.float64(0.7527151211361738), np.float64(0.7513066202090593), np.float64(0.7206106870229008), np.float64(0.7377289377289376), np.float64(0.6950459317585302), np.float64(0.7550167224080268), np.float64(0.7508779631255487), np.float64(0.7318580542264753), np.float64(0.7541771094402674), np.float64(0.7757352941176471)]"
10,0.6443708609271523,0.6066391710833638,0.7393146419590523,0.5641078133641902,0.7393146419590524,"[np.float64(0.7249373433583961), np.float64(0.7293844367015099), np.float64(0.7358778625954199), np.float64(0.7615384615384615), np.float64(0.6860236220472441), np.float64(0.7840022296544036), np.float64(0.7359525899912205), np.float64(0.7017543859649125), np.float64(0.7692147034252297), np.float64(0.7644607843137254)]"
10,0.6556291390728477,0.6083066857568801,0.7419311907949722,0.5719008078757757,0.7419311907949722,"[np.float64(0.7046783625730993), np.float64(0.7334494773519163), np.float64(0.7185114503816794), np.float64(0.7369963369963369), np.float64(0.6899606299212598), np.float64(0.7876254180602007), np.float64(0.7434152765583846), np.float64(0.7432216905901117), np.float64(0.7969924812030076), np.float64(0.7644607843137254)]"
10,0.6271523178807946,0.6058050359862358,0.7380023815376515,0.5533969000441644,0.7380023815376513,"[np.float64(0.722639933166249), np.float64(0.7244483159117305), np.float64(0.7456106870229008), np.float64(0.7377289377289376), np.float64(0.6989829396325459), np.float64(0.7586399108138239), np.float64(0.7471466198419666), np.float64(0.7167065390749601), np.float64(0.7969924812030076), np.float64(0.7311274509803922)]"
10,0.6569536423841059,0.6031379865105662,0.7306619204538182,0.5695585698179245,0.7306619204538182,"[np.float64(0.7309941520467835), np.float64(0.7359175377468061), np.float64(0.6820610687022901), np.float64(0.7054945054945055), np.float64(0.6651902887139108), np.float64(0.7948717948717949), np.float64(0.7284899034240562), np.float64(0.7242822966507179), np.float64(0.7564745196324144), np.float64(0.7828431372549018)]"
10,0.6569536423841059,0.6031674025828277,0.7307268133804892,0.5696046245565866,0.7307268133804892,"[np.float64(0.7309941520467835), np.float64(0.7359175377468061), np.float64(0.6820610687022901), np.float64(0.7054945054945055), np.float64(0.6651902887139108), np.float64(0.7731326644370122), np.float64(0.7508779631255487), np.float64(0.7242822966507179), np.float64(0.7564745196324144), np.float64(0.7828431372549018)]"
